Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
stoneware-dinner-plate,Stoneware Dinner Plate,"<p>Stoneware Dinner Plate — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Tableware,"best-seller,tableware",TRUE,Title,Default Title,SA-001,25,deny,48.00,,TRUE,TRUE,https://picsum.photos/seed/stoneware-dinner-plate/1200/1500,1,Stoneware Dinner Plate,active
hand-thrown-mug,Hand-thrown Mug,"<p>Hand-thrown Mug — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Tableware,"best-seller,tableware",TRUE,Title,Default Title,SA-002,25,deny,32.00,,TRUE,TRUE,https://picsum.photos/seed/hand-thrown-mug/1200/1500,1,Hand-thrown Mug,active
speckled-serving-bowl,Speckled Serving Bowl,"<p>Speckled Serving Bowl — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Tableware,tableware,TRUE,Title,Default Title,SA-003,25,deny,64.00,,TRUE,TRUE,https://picsum.photos/seed/speckled-serving-bowl/1200/1500,1,Speckled Serving Bowl,active
matte-ceramic-vase,Matte Ceramic Vase,"<p>Matte Ceramic Vase — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Objects,"new,objects",TRUE,Title,Default Title,SA-004,25,deny,88.00,,TRUE,TRUE,https://picsum.photos/seed/matte-ceramic-vase/1200/1500,1,Matte Ceramic Vase,active
ribbed-tumbler-set,"Ribbed Tumbler, Set of 4","<p>Ribbed Tumbler, Set of 4 — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Glassware,"glassware,set",TRUE,Title,Default Title,SA-005,25,deny,56.00,72.00,TRUE,TRUE,https://picsum.photos/seed/ribbed-tumbler-set/1200/1500,1,"Ribbed Tumbler, Set of 4",active
recycled-glass-carafe,Recycled Glass Carafe,"<p>Recycled Glass Carafe — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Glassware,"glassware,new",TRUE,Title,Default Title,SA-006,25,deny,44.00,,TRUE,TRUE,https://picsum.photos/seed/recycled-glass-carafe/1200/1500,1,Recycled Glass Carafe,active
smoked-wine-glasses,"Smoked Wine Glasses, Pair","<p>Smoked Wine Glasses, Pair — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Glassware,glassware,TRUE,Title,Default Title,SA-007,25,deny,52.00,,TRUE,TRUE,https://picsum.photos/seed/smoked-wine-glasses/1200/1500,1,"Smoked Wine Glasses, Pair",active
linen-table-runner,Washed Linen Table Runner,"<p>Washed Linen Table Runner — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Textiles,"textiles,best-seller",TRUE,Title,Default Title,SA-008,25,deny,58.00,,TRUE,TRUE,https://picsum.photos/seed/linen-table-runner/1200/1500,1,Washed Linen Table Runner,active
waffle-tea-towel,Waffle Weave Tea Towel,"<p>Waffle Weave Tea Towel — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Textiles,textiles,TRUE,Title,Default Title,SA-009,25,deny,24.00,,TRUE,TRUE,https://picsum.photos/seed/waffle-tea-towel/1200/1500,1,Waffle Weave Tea Towel,active
wool-throw-blanket,Lambswool Throw Blanket,"<p>Lambswool Throw Blanket — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Textiles,"textiles,new",TRUE,Title,Default Title,SA-010,25,deny,145.00,,TRUE,TRUE,https://picsum.photos/seed/wool-throw-blanket/1200/1500,1,Lambswool Throw Blanket,active
linen-napkin-set,"Linen Napkins, Set of 4","<p>Linen Napkins, Set of 4 — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Textiles,"textiles,set",TRUE,Title,Default Title,SA-011,25,deny,48.00,,TRUE,TRUE,https://picsum.photos/seed/linen-napkin-set/1200/1500,1,"Linen Napkins, Set of 4",active
ceramic-table-lamp,Ceramic Table Lamp,"<p>Ceramic Table Lamp — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Lighting,"lighting,new",TRUE,Title,Default Title,SA-012,25,deny,220.00,,TRUE,TRUE,https://picsum.photos/seed/ceramic-table-lamp/1200/1500,1,Ceramic Table Lamp,active
brass-candlestick,Brass Candlestick,"<p>Brass Candlestick — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Lighting,"lighting,objects",TRUE,Title,Default Title,SA-013,25,deny,68.00,,TRUE,TRUE,https://picsum.photos/seed/brass-candlestick/1200/1500,1,Brass Candlestick,active
beeswax-taper-set,"Beeswax Tapers, Set of 6","<p>Beeswax Tapers, Set of 6 — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Lighting,"lighting,set",TRUE,Title,Default Title,SA-014,25,deny,28.00,,TRUE,TRUE,https://picsum.photos/seed/beeswax-taper-set/1200/1500,1,"Beeswax Tapers, Set of 6",active
oak-cutting-board,Oak Cutting Board,"<p>Oak Cutting Board — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Kitchen,"kitchen,best-seller",TRUE,Title,Default Title,SA-015,25,deny,76.00,,TRUE,TRUE,https://picsum.photos/seed/oak-cutting-board/1200/1500,1,Oak Cutting Board,active
olive-wood-spoon,Olive Wood Serving Spoon,"<p>Olive Wood Serving Spoon — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Kitchen,kitchen,TRUE,Title,Default Title,SA-016,25,deny,22.00,,TRUE,TRUE,https://picsum.photos/seed/olive-wood-spoon/1200/1500,1,Olive Wood Serving Spoon,active
cast-iron-skillet,Seasoned Cast Iron Skillet,"<p>Seasoned Cast Iron Skillet — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Kitchen,"kitchen,new",TRUE,Title,Default Title,SA-017,25,deny,95.00,,TRUE,TRUE,https://picsum.photos/seed/cast-iron-skillet/1200/1500,1,Seasoned Cast Iron Skillet,active
marble-mortar-pestle,Marble Mortar & Pestle,"<p>Marble Mortar & Pestle — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Kitchen,"kitchen,objects",TRUE,Title,Default Title,SA-018,25,deny,84.00,,TRUE,TRUE,https://picsum.photos/seed/marble-mortar-pestle/1200/1500,1,Marble Mortar & Pestle,active
rattan-storage-basket,Rattan Storage Basket,"<p>Rattan Storage Basket — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Objects,"objects,storage",TRUE,Title,Default Title,SA-019,25,deny,72.00,,TRUE,TRUE,https://picsum.photos/seed/rattan-storage-basket/1200/1500,1,Rattan Storage Basket,active
travertine-bookends,"Travertine Bookends, Pair","<p>Travertine Bookends, Pair — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Objects,"objects,new",TRUE,Title,Default Title,SA-020,25,deny,110.00,,TRUE,TRUE,https://picsum.photos/seed/travertine-bookends/1200/1500,1,"Travertine Bookends, Pair",active
paper-desk-tray,Moulded Paper Desk Tray,"<p>Moulded Paper Desk Tray — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Objects,"objects,desk",TRUE,Title,Default Title,SA-021,25,deny,38.00,,TRUE,TRUE,https://picsum.photos/seed/paper-desk-tray/1200/1500,1,Moulded Paper Desk Tray,active
incense-holder,Soapstone Incense Holder,"<p>Soapstone Incense Holder — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Objects,objects,TRUE,Title,Default Title,SA-022,25,deny,34.00,,TRUE,TRUE,https://picsum.photos/seed/incense-holder/1200/1500,1,Soapstone Incense Holder,active
wall-mirror-arch,Arched Wall Mirror,"<p>Arched Wall Mirror — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Objects,"objects,new",TRUE,Title,Default Title,SA-023,25,deny,240.00,,TRUE,TRUE,https://picsum.photos/seed/wall-mirror-arch/1200/1500,1,Arched Wall Mirror,active
terracotta-planter,Terracotta Planter,"<p>Terracotta Planter — considered, durable, and made to last. Part of the Side Atelier collection of objects for the modern home.</p>",Side Atelier,Objects,"objects,best-seller",TRUE,Title,Default Title,SA-024,25,deny,42.00,,TRUE,TRUE,https://picsum.photos/seed/terracotta-planter/1200/1500,1,Terracotta Planter,active
